SEASON_ID,TEAM_ID_A,TEAM_ABBREVIATION_A,TEAM_NAME_A,GAME_ID,GAME_DATE,MATCHUP_A,WL_A,MIN_A,PTS_A,FGM_A,FGA_A,FG_PCT_A,FG3M_A,FG3A_A,FG3_PCT_A,FTM_A,FTA_A,FT_PCT_A,OREB_A,DREB_A,REB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,PLUS_MINUS_A,TEAM_ID_OPP_A,TEAM_ABBREVIATION_OPP_A,TEAM_NAME_OPP_A,MATCHUP_OPP_A,WL_OPP_A,MIN_OPP_A,PTS_OPP_A,FGM_OPP_A,FGA_OPP_A,FG_PCT_OPP_A,FG3M_OPP_A,FG3A_OPP_A,FG3_PCT_OPP_A,FTM_OPP_A,FTA_OPP_A,FT_PCT_OPP_A,OREB_OPP_A,DREB_OPP_A,REB_OPP_A,AST_OPP_A,STL_OPP_A,BLK_OPP_A,TOV_OPP_A,PF_OPP_A,PLUS_MINUS_OPP_A,GP_A,GAME_TOTAL_A,TEAM_ID_B,TEAM_ABBREVIATION_B,TEAM_NAME_B,MATCHUP_B,WL_B,MIN_B,PTS_B,FGM_B,FGA_B,FG_PCT_B,FG3M_B,FG3A_B,FG3_PCT_B,FTM_B,FTA_B,FT_PCT_B,OREB_B,DREB_B,REB_B,AST_B,STL_B,BLK_B,TOV_B,PF_B,PLUS_MINUS_B,TEAM_ID_OPP_B,TEAM_ABBREVIATION_OPP_B,TEAM_NAME_OPP_B,MATCHUP_OPP_B,WL_OPP_B,MIN_OPP_B,PTS_OPP_B,FGM_OPP_B,FGA_OPP_B,FG_PCT_OPP_B,FG3M_OPP_B,FG3A_OPP_B,FG3_PCT_OPP_B,FTM_OPP_B,FTA_OPP_B,FT_PCT_OPP_B,OREB_OPP_B,DREB_OPP_B,REB_OPP_B,AST_OPP_B,STL_OPP_B,BLK_OPP_B,TOV_OPP_B,PF_OPP_B,PLUS_MINUS_OPP_B,GP_B,GAME_TOTAL_B
22005,1610612756,PHX,Phoenix Suns,0020500003,2005-11-01,PHX vs. DAL,0.0,290,108.0,42.0,96.0,0.438,7.0,21.0,0.333,17.0,23.0,0.739,10.0,41.0,51.0,27.0,9.0,4.0,19.0,26.0,-3.0,1610612742,DAL,Dallas Mavericks,DAL @ PHX,1,290,111.0,42.0,94.0,0.447,8.0,18.0,0.444,19.0,28.0,0.679,14.0,41.0,55.0,16.0,9.0,6.0,21.0,30.0,3.0,0.0,219.0,1610612742,DAL,Dallas Mavericks,DAL @ PHX,1.0,290,111.0,42.0,94.0,0.447,8.0,18.0,0.444,19.0,28.0,0.679,14.0,41.0,55.0,16.0,9.0,6.0,21.0,30.0,3.0,1610612756,PHX,Phoenix Suns,PHX vs. DAL,0,290,108.0,42.0,96.0,0.438,7.0,21.0,0.333,17.0,23.0,0.739,10.0,41.0,51.0,27.0,9.0,4.0,19.0,26.0,-3.0,0.0,219.0
22005,1610612759,SAS,San Antonio Spurs,0020500002,2005-11-01,SAS vs. DEN,1.0,240,102.0,41.0,82.0,0.5,4.0,13.0,0.308,16.0,21.0,0.762,15.0,27.0,42.0,21.0,5.0,7.0,14.0,19.0,11.0,1610612743,DEN,Denver Nuggets,DEN @ SAS,0,240,91.0,41.0,84.0,0.488,0.0,7.0,0.0,9.0,15.0,0.6,12.0,23.0,35.0,21.0,6.0,4.0,13.0,18.0,-11.0,0.0,193.0,1610612743,DEN,Denver Nuggets,DEN @ SAS,0.0,240,91.0,41.0,84.0,0.488,0.0,7.0,0.0,9.0,15.0,0.6,12.0,23.0,35.0,21.0,6.0,4.0,13.0,18.0,-11.0,1610612759,SAS,San Antonio Spurs,SAS vs. DEN,1,240,102.0,41.0,82.0,0.5,4.0,13.0,0.308,16.0,21.0,0.762,15.0,27.0,42.0,21.0,5.0,7.0,14.0,19.0,11.0,0.0,193.0
22005,1610612755,PHI,Philadelphia 76ers,0020500001,2005-11-01,PHI vs. MIL,0.0,265,108.0,41.0,95.0,0.432,4.0,12.0,0.333,22.0,29.0,0.759,13.0,26.0,39.0,25.0,10.0,7.0,8.0,29.0,-9.0,1610612749,MIL,Milwaukee Bucks,MIL @ PHI,1,265,117.0,42.0,85.0,0.494,6.0,13.0,0.462,27.0,33.0,0.818,14.0,39.0,53.0,26.0,3.0,3.0,17.0,25.0,9.0,0.0,225.0,1610612749,MIL,Milwaukee Bucks,MIL @ PHI,1.0,265,117.0,42.0,85.0,0.494,6.0,13.0,0.462,27.0,33.0,0.818,14.0,39.0,53.0,26.0,3.0,3.0,17.0,25.0,9.0,1610612755,PHI,Philadelphia 76ers,PHI vs. MIL,0,265,108.0,41.0,95.0,0.432,4.0,12.0,0.333,22.0,29.0,0.759,13.0,26.0,39.0,25.0,10.0,7.0,8.0,29.0,-9.0,0.0,225.0
22005,1610612740,NOP,New Orleans/Oklahoma City Hornets,0020500025,2005-11-01,NOK vs. SAC,1.0,240,93.0,35.0,73.0,0.479,4.0,11.0,0.364,19.0,22.0,0.864,6.0,46.0,52.0,21.0,7.0,4.0,20.0,21.0,26.0,1610612758,SAC,Sacramento Kings,SAC @ NOK,0,240,67.0,25.0,80.0,0.313,3.0,13.0,0.231,14.0,19.0,0.737,10.0,26.0,36.0,13.0,8.0,5.0,18.0,25.0,-26.0,0.0,160.0,1610612758,SAC,Sacramento Kings,SAC @ NOK,0.0,240,67.0,25.0,80.0,0.313,3.0,13.0,0.231,14.0,19.0,0.737,10.0,26.0,36.0,13.0,8.0,5.0,18.0,25.0,-26.0,1610612740,NOP,New Orleans/Oklahoma City Hornets,NOK vs. SAC,1,240,93.0,35.0,73.0,0.479,4.0,11.0,0.364,19.0,22.0,0.864,6.0,46.0,52.0,21.0,7.0,4.0,20.0,21.0,26.0,0.0,160.0
22005,1610612744,GSW,Golden State Warriors,0020500017,2005-11-02,GSW vs. ATL,1.0,240,122.0,43.0,74.0,0.581,7.0,19.0,0.368,29.0,45.0,0.644,11.0,27.0,38.0,24.0,10.0,8.0,19.0,21.0,25.0,1610612737,ATL,Atlanta Hawks,ATL @ GSW,0,240,97.0,39.0,93.0,0.419,3.0,10.0,0.3,16.0,21.0,0.762,20.0,27.0,47.0,21.0,12.0,3.0,20.0,35.0,-25.0,0.0,219.0,1610612737,ATL,Atlanta Hawks,ATL @ GSW,0.0,240,97.0,39.0,93.0,0.419,3.0,10.0,0.3,16.0,21.0,0.762,20.0,27.0,47.0,21.0,12.0,3.0,20.0,35.0,-25.0,1610612744,GSW,Golden State Warriors,GSW vs. ATL,1,240,122.0,43.0,74.0,0.581,7.0,19.0,0.368,29.0,45.0,0.644,11.0,27.0,38.0,24.0,10.0,8.0,19.0,21.0,25.0,0.0,219.0
